period,site,date,sampleID,uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tag
2016-Aug,Stryker,2016-08-29,97,na,macro,stipe,5,1180.5,4389.3,44,1623.7,,na
2016-Aug,Stryker,2016-08-29,98,na,macro,stipe,5,1234.8,3821,44,1621.5,,na
2016-Sep,Triquet,2016-09-07,99,MI0377,macro,blade,5,1315.2,3028.4,72,1499.8,,na
2016-Sep,Triquet,2016-09-07,100,MI0378,macro,blade,5,1308,3164.2,72,1466.2,,na
2016-Sep,Triquet,2016-09-07,101,MI0379,macro,blade,5,1234.6,2441.4,72,1369.7,,na
2016-Sep,Triquet,2016-09-07,102,MI0380,macro,blade,5,1246.5,2308.8,72,1346.9,,na
2016-Sep,Triquet,2016-09-07,103,MI0381,macro,blade,5,1180.9,2191.6,72,1293.6,,na
2016-Sep,Triquet,2016-09-07,104,MI0382,macro,blade,5,1259.7,1935.7,72,1386.6,,na
2016-Sep,Triquet,2016-09-07,105,MI0383,macro,blade,5,1169.2,2219.7,72,1263.8,,na
2016-Sep,Triquet,2016-09-07,106,MI0384,macro,blade,5,1219.8,2292.9,72,1366.2,,na
2016-Sep,Triquet,2016-09-07,107,MI0385,macro,blade,5,1221.6,2545.8,72,1369.9,,na
2016-Sep,Triquet,2016-09-07,108,MI0386,macro,blade,5,1138,2371,72,1260.4,,na
2016-Sep,Simmonds,2016-09-08,109,MI0387,macro,blade,5,1270.1,2836.3,72,1491.3,,na
2016-Sep,Simmonds,2016-09-08,110,MI0388,macro,blade,5,1246,2667.4,72,1460.4,,na
2016-Sep,Simmonds,2016-09-08,111,MI0389,macro,blade,5,1240.6,3052.7,72,1431.5,,na
2016-Sep,Simmonds,2016-09-08,112,MI0390,macro,blade,5,1184.5,2895.7,72,1390.4,,na
2016-Sep,Simmonds,2016-09-08,113,MI0391,macro,blade,5,1208.7,3102.9,72,1413.8,,na
2016-Sep,Simmonds,2016-09-08,114,MI0392,macro,blade,5,1210.3,3349.2,72,1457,,na
2016-Sep,Simmonds,2016-09-08,115,MI0393,macro,blade,5,1305.1,2841.3,72,1494.5,,na
2016-Sep,Simmonds,2016-09-08,116,MI0394,macro,blade,5,1314.7,3216.5,72,1517.1,,na
2016-Sep,Simmonds,2016-09-08,117,MI0395,macro,blade,5,1339.2,2921.3,72,1502.7,,na
2016-Sep,Simmonds,2016-09-08,118,MI0396,macro,blade,5,1800,3301.5,72,1965.9,,na
2016-Sep,Simmonds,2016-09-08,109,na,macro,stipe,5,1174.3,3786.8,72,1490.8,,na
