interval,site,date,sampleID,isotope_uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tagged_plantID
Aug-16,North,2016-08-14,167,NA,nereo,stipe,5,1081.6,11683,22,2216.7,harvested plants,NA
Aug-16,North,2016-08-15,168,NA,nereo,stipe,5,629.4,13580,22,1722.2,harvested plants,NA
Aug-16,North,2016-08-16,169,NA,nereo,stipe,5,892.4,6683.4,22,1393.1,harvested plants,NA
Aug-16,North,2016-08-17,170,NA,nereo,stipe,5,969.2,13534.4,22,2177.3,harvested plants,NA
Aug-16,North,2016-08-18,171,NA,nereo,stipe,5,860.9,13736.9,22,2285.3,harvested plants,NA
Aug-16,North,2016-08-19,172,NA,nereo,stipe,5,537.2,8502,22,1149.4,harvested plants,NA
Aug-16,North,2016-08-20,173,NA,nereo,stipe,5,451.5,11916.7,22,1728.1,harvested plants,NA
Aug-16,North,2016-08-21,174,NA,nereo,stipe,5,718,20352.9,22,2855,harvested plants,NA
Aug-16,North,2016-08-22,175,NA,nereo,stipe,5,524.2,15351.4,22,2460,harvested plants,NA
Aug-16,North,2016-08-23,176,NA,nereo,stipe,5,538.6,16845.7,22,3725.9,harvested plants,NA
Sep-16,North,2016-09-09,177,MI0397,nereo,blade,19.5,8007.5,13871.1,48,8527.9,,2013
Sep-16,North,2016-09-09,178,MI0398,nereo,blade,17,8245.5,14390.3,48,8812.1,,2497
Sep-16,North,2016-09-09,179,MI0399,nereo,blade,44.3,6532,19553.3,48,7658.9,,1778
Sep-16,North,2016-09-09,180,MI0400,nereo,blade,17.3,8695.1,12249.5,48,8964,,2501
Sep-16,North,2016-09-09,181,MI0401,nereo,blade,47.5,8297.9,22728.9,48,9501.1,,1807
Sep-16,North,2016-09-09,182,MI0402,nereo,blade,44.3,9471.8,23179.5,48,9704.7,,1761
Sep-16,North,2016-09-09,183,MI0403,nereo,blade,17.8,8516.8,12806,48,8882.7,,2128
Sep-16,North,2016-09-09,184,MI0404,nereo,blade,34.5,8002.9,19748.7,48,9006.6,,1721
Sep-16,North,2016-09-09,185,MI0405,nereo,blade,12.7,5838,8556.2,48,6044.8,,1973
Sep-16,North,2016-09-09,186,MI0406,nereo,blade,28.7,8191,14345,48,8665.7,,1710
Sep-16,North,2016-09-09,187,MI0407,nereo,blade,30.9,8241.4,16508.7,48,8881.1,,1755
Sep-16,North,2016-09-09,188,MI0408,nereo,blade,21.9,8194.3,14217,48,8738.7,,1727
Sep-16,North,2016-09-09,189,MI0409,nereo,blade,87.3,8694.8,46723.7,48,12089.3,,2519
Sep-16,North,2016-09-09,190,MI0410,nereo,blade,34.4,6535.5,17071.2,48,7574.3,,2050
Sep-16,North,2016-09-09,191,MI0411,nereo,blade,24.1,6820.1,10229.9,48,7072.7,,1685
Sep-16,Manley,2016-09-10,192,MI0412,nereo,blade,1.6,8692.6,8928.9,48,8722.3,,2428
Sep-16,Manley,2016-09-10,193,MI0413,nereo,blade,0.7,8235.1,8324.4,48,8244.6,,2482
Sep-16,Manley,2016-09-10,194,MI0414,nereo,blade,15.4,8235.5,9716.2,48,8356.4,,1960
Sep-16,Manley,2016-09-10,195,MI0415,nereo,blade,18.1,8458.5,11297.1,48,8689.3,,1868
Sep-16,Manley,2016-09-10,196,MI0416,nereo,blade,2.6,8064.1,8578.6,48,8105.4,,2026
Sep-16,Manley,2016-09-10,197,MI0417,nereo,blade,3.7,8183,8800.2,48,8232.2,,2015
Sep-16,Manley,2016-09-10,198,MI0418,nereo,blade,6.4,5858,6628.3,48,5920.6,,1890
Sep-16,Manley,2016-09-10,199,MI0419,nereo,blade,10.5,8524.2,9741.3,48,8629.2,,2493
Sep-16,Manley,2016-09-10,200,MI0420,nereo,blade,1,8052.1,8185.8,48,8065.4,,2088
Sep-16,Manley,2016-09-10,201,MI0421,nereo,blade,7.8,6568.3,7566.2,48,6651.8,,2016
Sep-16,Manley,2016-09-10,202,MI0422,nereo,blade,20.8,8067.6,12020.8,48,8359.1,,1993
Sep-16,Manley,2016-09-10,203,MI0423,nereo,blade,22,8310,11437.6,48,8546.9,,1752
Sep-16,Second,2016-09-10,204,MI0424,nereo,blade,7.2,8201.2,9208.9,48,8282.6,,1699
Sep-16,Second,2016-09-10,205,MI0425,nereo,blade,30.7,8530.8,12982.1,48,8899.9,,1998
