"period","date","site","diver","transect","side","distance","tag","time","blade_count","Sbulb_max","timestamp","stipe_length","presence","punch_length","punch_blade_length","blade_avg_length","sori"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,422,NA,NA,NA,88,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,423,NA,NA,NA,37,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,458,NA,NA,NA,92,"L"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,463,NA,NA,NA,19,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,505,NA,NA,NA,64,"0"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,516,NA,NA,NA,73,"L"
"2016-Aug","2016-08-14","North","AM",1,NA,NA,NA,"14:00:00",NA,NA,1,518,NA,NA,NA,75,"0"
"2016-Aug","2016-08-14","North","AM",2,"L",3.1,1798,"9:45:00",39,NA,2,NA,"y",25,57,NA,NA
"2016-Aug","2016-08-14","North","AM",2,"L",19.8,1984,"9:45:00",20,NA,2,NA,"y",35,74,NA,NA
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,133,NA,NA,NA,70,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,283,NA,NA,NA,26,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,294,NA,NA,NA,47,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,300,NA,NA,NA,28,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,359,NA,NA,NA,39,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,362,NA,NA,NA,10,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,382,NA,NA,NA,62,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,387,NA,NA,NA,60,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,387,NA,NA,NA,35,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,407,NA,NA,NA,68,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,409,NA,NA,NA,45,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,417,NA,NA,NA,68,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,450,NA,NA,NA,37,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,477,NA,NA,NA,72,"0"
"2016-Aug","2016-08-14","North","AM",2,NA,NA,NA,"14:00:00",NA,NA,1,504,NA,NA,NA,84,"0"
"2016-Aug","2016-08-14","North","AM",3,"L",4.2,1954,"9:45:00",18,NA,2,NA,"y",29.5,55,NA,NA
"2016-Aug","2016-08-14","North","AM",3,"L",5,1804,"9:45:00",10,NA,2,NA,"y",NA,NA,NA,NA
"2016-Aug","2016-08-14","North","AM",3,"L",7.5,1970,"9:45:00",22,NA,2,NA,"y",51,98,NA,NA
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,185,NA,NA,NA,70,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,187,NA,NA,NA,88,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,217,NA,NA,NA,86,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,270,NA,NA,NA,72,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,284,NA,NA,NA,34,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,317,NA,NA,NA,47,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,330,NA,NA,NA,25,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,342,NA,NA,NA,54,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,357,NA,NA,NA,68,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,380,NA,NA,NA,52,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,407,NA,NA,NA,97,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,426,NA,NA,NA,12,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,452,NA,NA,NA,79,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,458,NA,NA,NA,58,"0"
"2016-Aug","2016-08-14","North","AM",3,NA,NA,NA,"14:00:00",NA,NA,1,487,NA,NA,NA,69,"0"
"2016-Aug","2016-08-14","North","OP",1,"R",5,338,"9:45:00",34,NA,2,NA,"y",27,56,NA,NA
"2016-Aug","2016-08-14","North","OP",1,"R",9,320,"9:45:00",43,NA,2,NA,"y",30,70,NA,NA
"2016-Aug","2016-08-14","North","OP",2,"R",1,325,"9:45:00",26,NA,2,NA,"y",33,54,NA,NA
"2016-Aug","2016-08-14","North","OP",2,"R",6,1874,"9:45:00",41,NA,2,NA,"y",24,45,NA,NA
"2016-Aug","2016-08-14","North","OP",2,"R",17,1980,"9:45:00",32,NA,2,NA,"y",44,102,NA,NA
"2016-Aug","2016-08-14","North","OP",3,"R",3,511,"9:45:00",31,NA,2,NA,"y",22,39,NA,NA
"2016-Aug","2016-08-14","North","OP",3,"R",13.75,2045,"9:45:00",31,NA,2,NA,"y",28,62,NA,NA
"2016-Aug","2016-08-14","North","OP",3,"R",18,2009,"9:45:00",43,NA,2,NA,"y",28,56,NA,NA
"2016-Aug","2016-08-14","Second","AM",1,"R",10,305,"13:30:00",37,NA,2,NA,"y",28,48,NA,NA
"2016-Aug","2016-08-14","Second","AM",1,"R",12,515,"13:30:00",NA,NA,2,NA,"n",NA,NA,NA,NA
"2016-Aug","2016-08-14","Second","AM",1,"R",17,1944,"13:30:00",34,NA,2,NA,"y",NA,NA,NA,NA
"2016-Aug","2016-08-14","Second","AM",2,"R",9.9,2138,"13:30:00",30,NA,2,NA,"y",17,29,NA,NA
"2016-Aug","2016-08-14","Second","AM",2,"R",17,2133,"13:30:00",11,NA,2,NA,"y",27,52,NA,NA
"2016-Aug","2016-08-14","Second","AM",3,"R",6.5,506,"13:30:00",49,NA,2,NA,"y",25,53,NA,NA
"2016-Aug","2016-08-14","Second","AM",3,"R",9.1,508,"13:30:00",24,NA,2,NA,"y",19.5,37,NA,NA
"2016-Aug","2016-08-14","Second","AM",3,"R",18.6,322,"13:30:00",25,NA,2,NA,"y",30,56,NA,NA
"2016-Aug","2016-08-14","Second","OP",1,"L",7,1950,"13:30:00",37,NA,2,NA,"y",10,19,NA,NA
"2016-Aug","2016-08-14","Second","OP",1,"L",12,1780,"13:30:00",26,NA,2,NA,"y",10,17,NA,NA
