period,date,site,diver,transect,side,dist,Sbulb_max,comments
2021-Jul,2021-07-08,Breaker,DVM,2,R,5,43,
2021-Jul,2021-07-08,Breaker,DVM,2,R,15,32,
2021-Jul,2021-07-08,Breaker,DVM,2,L,19.5,33,
2021-Jul,2021-07-08,Breaker,ZM,1,L,0.5,25,
2021-Jul,2021-07-08,Breaker,ZM,1,R,4.5,43,
2021-Jul,2021-07-08,Breaker,ZM,1,R,13,41,
2021-Jul,2021-07-08,Breaker,ZM,1,R,17.5,30,
2021-Jul,2021-07-08,Manley,DVM,2,L,18,55,
2021-Jul,2021-07-08,Manley,DVM,2,R,17.5,19,
2021-Jul,2021-07-08,Manley,DVM,2,L,13,24,
2021-Jul,2021-07-08,Manley,KH,3,R,4.2,12,
2021-Jul,2021-07-08,Manley,KH,3,R,4,25,
2021-Jul,2021-07-08,Manley,KH,3,L,3,16,
2021-Jul,2021-07-08,Manley,KH,3,L,3.5,16,
2021-Jul,2021-07-08,Manley,ZM,1,R,12,40,
2021-Jul,2021-07-08,Manley,ZM,1,L,6,16,
2021-Jul,2021-07-08,Manley,ZM,1,L,18,28,
2022-May,2022-05-06,Owen,DVM,2,na,na,16,
2022-May,2022-05-06,Owen,DVM,2,na,na,22,
2022-May,2022-05-06,Owen,DVM,2,na,na,25,
2022-May,2022-05-06,Owen,DVM,2,na,na,36,
2022-May,2022-05-06,Owen,DVM,2,na,na,32,
2022-May,2022-05-06,Owen,DVM,2,na,na,18,
2022-May,2022-05-06,Owen,DVM,2,na,na,16,
2022-May,2022-05-06,Owen,DVM,2,na,na,31,
2022-May,2022-05-06,Owen,DVM,2,na,na,36,
2022-May,2022-05-06,Owen,DVM,2,na,na,25,
2022-May,2022-05-06,Owen,DVM,2,na,na,22,
2022-May,2022-05-06,Owen,DVM,2,na,na,37,
2022-May,2022-05-06,Owen,DVM,2,na,na,26,
2022-May,2022-05-06,Owen,DVM,2,na,na,35,
