period,date,site,contour,transect,diver,tag,stipeL,bladeL,Bwidth,pneuD,Sbulb_max,Sbulb_10,Sbulb_15,Bcount,bladeW,stipeW,Psori,comments,sampleID,uniqueID,"*** stipeL /bladeL = cm, bladeWidth/pneuD/Sbulb_max/Sbulb_10/Sbulb_15 = mm, bladeW/stipeW = kg"
2017-Jul,2017-07-16,North,na,na,KB/TF,na,500,55,na,68,na,na,na,64,0.53,0.59,na,,141,MI0908,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,452,78,na,74,na,na,na,48,0.088,0.7,na,,135,MI0906,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,363,98,na,74,na,na,na,45,0.42,0.32,na,,144,MI0911,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,403,102,na,74,na,na,na,40,0.49,0.67,na,,147,MI0910,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,358,103,na,72,na,na,na,42,0.58,0.39,na,,145,MI0909,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,345,101,na,76,na,na,na,35,0.47,0.24,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,212,60,na,44,na,na,na,14,0.17,0.13,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,557,138,na,86,na,na,na,39,1.74,1.37,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,406,79,na,66,na,na,na,36,0.47,1,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,346,100,na,78,na,na,na,31,0.34,0.64,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,455,81,na,80,na,na,na,60,0.93,0.119,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,231,80,na,56,na,na,na,40,0.23,0.09,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,388,66,na,78,na,na,na,65,0.56,0.55,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,455,90,na,78,na,na,na,44,0.73,0.97,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,123,77,na,70,na,na,na,45,0.19,0.33,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,514,114,na,82,na,na,na,76,1.38,1.08,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,360,61,na,68,na,na,na,37,0.19,0.31,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,503,80,na,76,na,na,na,55,0.78,0.91,na,,na,na,
2017-Jul,2017-07-16,North,na,na,KB/TF,na,490,166,na,94,na,na,na,79,3.77,2.84,na,,na,na,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,90,75,na,64,na,na,na,23,0.08,0.14,na,,20,M10903,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,242,97,na,70,na,na,na,44,0.59,0.31,na,,19,M10902,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,349,84,na,75,na,na,na,48,0.58,0.31,na,,21,M10900,
2017-Jul,2017-07-16,Second,na,na,KB/TF,na,287,76,na,58,na,na,na,34,0.33,0.16,na,,na,na,
